Chars	Matches	Time
1139000	16590	490
1140000	14525	493
1141000	14525	275
1142000	14525	494
1143000	14525	493
1144000	14525	500
1145000	16590	490
1146000	15462	276
1147000	13462	494
1148000	13504	496
1149000	13462	493
1150000	13462	497
1151000	14525	501
1152000	16485	490
1153000	15462	271
1154000	16485	497
1155000	14525	493
1156000	14525	495
1157000	14420	496
1158000	14525	272
1159000	14525	494
1160000	15462	493
1161000	15462	491
1162000	15462	273
1163000	13397	492
1164000	14525	494
1165000	13462	495
1166000	13483	270
1167000	14525	491
1168000	13504	500
1169000	15462	494
1170000	14525	496
1171000	13504	495
1172000	14525	496
1173000	14525	271
1174000	14525	501
1175000	16590	491
1176000	11439	494
1177000	13483	491
1178000	13462	274
1179000	14525	496
1180000	13483	502
1181000	16485	493
1182000	15548	494
1183000	13462	497
1184000	14525	498
1185000	14420	498
1186000	15462	497
1187000	15462	273
1188000	13397	493
1189000	13483	490
1190000	14525	500
1191000	14525	273
1192000	13462	494
1193000	15462	497
1194000	15462	492
1195000	15462	491
1196000	14420	274
1197000	14525	497
1198000	14525	492
1199000	14525	490
1200000	14420	495
1201000	15462	277
1202000	16590	489
1203000	15462	493
1204000	16485	494
1205000	14525	275
1206000	14525	494
1207000	14525	497
1208000	14525	493
1209000	14420	496
1210000	16590	495
1211000	16590	272
1212000	11418	496
1213000	13483	491
1214000	14525	495
1215000	13504	495
1216000	14525	274
1217000	15462	502
1218000	15462	492
1219000	15462	491
1220000	12376	491
1221000	14525	275
1222000	14525	495
1223000	14525	497
1224000	15462	496
1225000	15462	492
1226000	15462	492
1227000	14525	278
1228000	14525	491
1229000	14420	491
1230000	14420	497
1231000	15462	500
1232000	13483	493
1233000	16590	271
1234000	15462	490
1235000	14420	495
1236000	14525	491
1237000	13462	278
1238000	14525	491
1239000	14525	499
1240000	15462	489
1241000	16485	270
1242000	15462	495
1243000	16590	488
1244000	13483	496
1245000	14525	498
1246000	14420	273
1247000	16590	722
1248000	16590	272
1249000	16485	492
1250000	14525	492
1251000	13504	272
1252000	14525	493
1253000	13483	501
1254000	15462	496
1255000	16590	492
1256000	15462	489
1257000	16485	270
1258000	14525	510
1259000	14525	495
1260000	13483	489
1261000	15462	498
1262000	15462	493
1263000	15462	273
1264000	14525	494
1265000	14525	494
1266000	14525	493
1267000	14525	493
1268000	14525	501
1269000	15462	269
1270000	15462	491
1271000	15462	495
1272000	13397	494
1273000	14525	276
1274000	14525	492
1275000	14420	498
1276000	15462	496
1277000	15462	492
1278000	15548	271
1279000	15462	490
1280000	13397	492
1281000	13483	268
1282000	13462	496
1283000	14525	500
1284000	13462	492
1285000	15462	499
1286000	15462	492
1287000	15462	272
1288000	14420	497
1289000	14420	497
1290000	14525	493
1291000	15462	504
1292000	13504	491
1293000	15462	493
1294000	14525	273
1295000	14525	495
1296000	14420	495
1297000	14420	502
1298000	16590	490
1299000	16590	271
1300000	15527	492
1301000	14420	492
1302000	13462	502
1303000	14420	499
1304000	15527	499
1305000	15569	489
1306000	13397	278
1307000	14525	496
1308000	14525	495
1309000	14525	492
1310000	13483	500
1311000	16485	494
1312000	15569	272
1313000	13504	490
1314000	15569	493
1315000	13483	492
1316000	14525	275
1317000	14525	497
1318000	14525	489
1319000	14525	500
1320000	15527	491
1321000	16590	272
1322000	16590	493
1323000	14525	498
1324000	14525	492
1325000	14525	496
1326000	13483	498
1327000	16590	271
1328000	15462	491
1329000	15462	494
1330000	13504	492
1331000	14525	274
1332000	13504	489
1333000	14420	493
1334000	14420	497
1335000	15462	496
1336000	15462	273
1337000	15462	492
1338000	13397	494
1339000	14525	497
1340000	14525	496
1341000	13483	501
1342000	15462	493
1343000	15462	268
1344000	16590	491
1345000	14525	492
1346000	14525	275
1347000	14525	493
1348000	14420	497
1349000	15462	497
1350000	15569	492
1351000	16590	493
1352000	13483	278
1353000	14525	498
1354000	14420	490
1355000	13483	499
1356000	15462	494
1357000	15462	492
1358000	13462	275
1359000	14525	499
1360000	14525	502
1361000	13483	493
1362000	16590	500
1363000	15462	496
1364000	16590	491
1365000	14525	494
1366000	13462	273
1367000	14525	498
1368000	13483	492
1369000	13483	497
1370000	15462	494
1371000	15462	494
1372000	16590	271
1373000	15462	490
1374000	13397	493
1375000	13504	495
1376000	14525	278
1377000	13504	497
1378000	15462	495
1379000	15462	488
1380000	15462	493
1381000	14420	275
1382000	14525	492
1383000	14525	495
1384000	13483	493
1385000	15462	498
1386000	15462	272
1387000	15462	492
1388000	15569	490
1389000	14525	497
1390000	13483	269
1391000	13483	500
1392000	14525	499
1393000	15462	494
1394000	15462	494
1395000	13397	495
1396000	13483	496
1397000	14525	276
1398000	13504	490
1399000	15462	499
1400000	15462	492
1401000	15462	491
1402000	14420	276
1403000	14525	492
1404000	14525	495
1405000	13504	492
1406000	15462	502
1407000	16590	269
1408000	15569	493
1409000	16590	491
1410000	14525	492
1411000	14525	495
1412000	14525	277
1413000	13483	494
1414000	15462	501
1415000	16485	492
1416000	15462	492
1417000	13483	272
1418000	13504	495
1419000	13504	495
1420000	14525	492
1421000	13462	499
1422000	15462	270
1423000	15462	493
1424000	16485	491
1425000	16590	489
1426000	13483	277
1427000	14525	494
1428000	14525	496
1429000	13483	502
1430000	16590	490
1431000	15569	493
1432000	15462	272
1433000	14525	494
1434000	14420	496
1435000	14525	496
1436000	14525	489
1437000	15462	502
1438000	13462	271
1439000	16590	489
1440000	13504	493
1441000	14420	496
1442000	13483	499
1443000	15462	503
1444000	15462	494
1445000	15462	273
1446000	14525	493
1447000	14525	495
1448000	13462	496
1449000	14420	498
1450000	15462	273
1451000	15462	493
1452000	15462	495
1453000	13397	492
1454000	14525	494
1455000	14525	496
1456000	14420	502
1457000	15462	277
1458000	15462	493
1459000	16590	488
1460000	14525	496
1461000	14525	496
1462000	14525	273
1463000	14420	490
1464000	14420	496
1465000	15569	496
1466000	16485	493
